hit_cnt,sip_cnt,dip,dport,proto,inif,outif,src_ip
6,1,2672341411,80,6,proxy8,proxy9,660973760
6,1,754964907,80,6,proxy8,proxy9,660973760
6,1,1215471067,80,6,proxy8,proxy9,660973760
6,1,2904410213,80,6,proxy8,proxy9,553756864
6,1,114915957,80,6,proxy8,proxy9,553756864
6,1,2561329509,80,6,proxy8,proxy9,553756864
6,1,1000777695,80,6,proxy8,proxy9,553756864
6,1,2418203931,80,6,proxy8,proxy9,553756864
6,1,370054838,80,6,proxy8,proxy9,536979648
6,1,258784375,80,6,proxy8,proxy9,520202432
6,1,293530666,80,6,proxy8,proxy9,671197376
6,1,1659625012,443,6,proxy8,proxy9,687974592
6,1,3456302448,80,6,proxy8,proxy9,1124182208
6,1,2834211764,80,6,proxy8,proxy9,687974592
6,1,2834211764,443,6,proxy8,proxy9,687974592
6,1,84250490,80,6,proxy8,proxy9,1124182208
6,1,2213454772,80,6,proxy8,proxy9,704751808
6,1,691940968,443,6,proxy8,proxy9,687974592
6,1,1659610036,443,6,proxy8,proxy9,704751808
6,1,3651325541,443,6,proxy8,proxy9,1124182208
6,1,23439552,1900,17,proxy8,local,660973760
5,5,425089648,443,6,proxy8,proxy9,1124182208;1073850560;671197376;620865728;520202432
5,3,682323492,80,6,proxy8,proxy9,704751808;660973760;536979648
5,3,1379192431,80,6,proxy8,proxy9,1191291072;553756864;520202432
5,3,1412441396,443,6,proxy8,proxy9,1191291072;671197376;536979648
5,3,2387770747,80,6,proxy8,proxy9,1191291072;553756864;520202432
5,2,100983397,53,6,proxy8,proxy9,704751808;671197376
5,2,3370652277,443,6,proxy8,proxy9,655075500;654420160
5,2,1319164332,443,6,proxy8,proxy9,671197376;660973760
5,2,236509612,443,6,proxy8,proxy9,660973760;654420160
5,2,1465213364,80,6,proxy8,proxy9,660973760;654420160
5,2,3219495348,80,6,proxy8,proxy9,704751808;687974592
5,2,430352351,80,6,proxy8,proxy9,1191291072;520202432
5,2,946282202,80,6,proxy8,proxy9,704751808;687974592
5,2,3581288154,80,6,proxy8,proxy9,704751808;687974592
5,2,377416746,80,6,proxy8,proxy9,671197376;520202432
5,2,3216799850,80,6,proxy8,proxy9,704751808;687974592
5,2,869920627,443,6,proxy8,proxy9,687974592;536979648
5,1,584219510,443,6,proxy8,proxy9,660973760
5,1,557845791,443,6,proxy8,proxy9,660973760
5,1,3070470790,80,6,proxy8,proxy9,660973760
5,1,724816075,80,6,proxy8,proxy9,660973760
5,1,4180136139,80,6,proxy8,proxy9,660973760
5,1,2547866842,80,6,proxy8,proxy9,660973760
5,1,1430113676,80,6,proxy8,proxy9,660973760
5,1,546692162,443,6,proxy8,proxy9,660973760
5,1,345496642,443,6,proxy8,proxy9,660973760
5,1,3281744242,80,6,proxy8,proxy9,660973760
5,1,724095179,80,6,proxy8,proxy9,660973760
5,1,2013630330,80,6,proxy8,proxy9,660973760
5,1,251502972,80,6,proxy8,proxy9,1124182208
5,1,486049597,80,6,proxy8,proxy9,553756864
5,1,46457978,80,6,proxy8,proxy9,704751808
5,1,2642404975,80,6,proxy8,proxy9,1124182208
5,1,536979648,2492,6,proxy9,proxy8,3036916358
5,1,4276522166,80,6,proxy8,proxy9,687974592
5,1,3366916456,80,6,proxy8,proxy9,687974592
5,1,919611752,443,6,proxy8,proxy9,687974592
5,1,3124386936,9002,6,proxy8,proxy9,671197376
5,1,933668831,80,6,proxy8,proxy9,1191291072
5,1,2392626612,80,6,proxy8,proxy9,536979648
5,1,2230231988,443,6,proxy8,proxy9,687974592
5,1,1663392551,8000,17,proxy8,proxy9,620865728
5,1,2738764983,8000,17,proxy8,proxy9,335653056
4,4,3053693574,443,6,proxy8,proxy9,1191291072;660973760;654420160;520202432
4,3,502076021,80,6,proxy8,proxy9,687974592;654420160;335653056
4,2,3250166589,8099,6,proxy8,proxy9,660973760;655075500
4,2,613641764,80,6,proxy8,proxy9,687974592;536979648
4,2,2384189868,443,6,proxy8,proxy9,671197376;654420160
4,2,1310316972,443,6,proxy8,proxy9,1191291072;671197376
4,2,3569971250,443,6,proxy8,proxy9,1191291072;687974592
4,2,4005903064,443,6,proxy8,proxy9,671197376;654420160
4,2,847033820,80,6,proxy8,proxy9,687974592;536979648
4,2,413575135,80,6,proxy8,proxy9,1191291072;520202432
4,1,249220492,443,6,proxy8,proxy9,520202432
4,1,304336268,443,6,proxy8,proxy9,520202432
4,1,1017554911,443,6,proxy8,proxy9,1191291072
4,1,1706944832,80,6,proxy8,proxy9,671197376
4,1,835877750,443,6,proxy8,proxy9,660973760
4,1,2138121573,443,6,proxy8,proxy9,660973760
4,1,1847187884,443,6,proxy8,proxy9,660973760
4,1,1843880394,80,6,proxy8,proxy9,660973760
4,1,1843880394,443,6,proxy8,proxy9,660973760
4,1,564377052,80,6,proxy8,proxy9,660973760
4,1,1830462388,443,6,proxy8,proxy9,660973760
4,1,575995511,80,6,proxy8,proxy9,660973760
4,1,832622181,80,6,proxy8,proxy9,660973760
4,1,3156857035,443,6,proxy8,proxy9,660973760
4,1,697204091,80,6,proxy8,proxy9,660973760
4,1,828689007,80,6,proxy8,proxy9,660973760
4,1,1093914827,80,6,proxy8,proxy9,660973760
4,1,2929745199,443,6,proxy8,proxy9,660973760
4,1,1002116469,80,6,proxy8,proxy9,687974592
4,1,1034332127,80,6,proxy8,proxy9,1191291072
4,1,358939821,443,6,proxy8,proxy9,671197376
4,1,1889885999,80,6,proxy8,proxy9,553756864
4,1,2114276968,443,6,proxy8,proxy9,671197376
4,1,2868498277,80,6,proxy8,proxy9,1124182208
4,1,3585771325,80,6,proxy8,proxy9,671197376
4,1,16885952,80,6,proxy8,local,520202432
4,1,1829080954,1122,6,proxy8,proxy9,520202432
4,1,2599584123,80,6,proxy8,proxy9,520202432
4,1,2392303327,443,6,proxy8,proxy9,671197376
4,1,612152796,80,6,proxy8,proxy9,687974592
4,1,2723057371,443,6,proxy8,proxy9,654420160
4,1,549296815,80,6,proxy8,proxy9,654420160
4,1,671197376,2492,6,proxy9,proxy8,3087248006
4,1,1899808822,443,6,proxy8,proxy9,620865728
4,1,3586478028,443,6,proxy8,proxy9,687974592
4,1,2955629620,80,6,proxy8,proxy9,687974592
4,1,1197643330,443,6,proxy8,proxy9,520202432
4,1,687974592,2492,6,proxy9,proxy8,3087248006
4,1,1366214501,80,6,proxy8,proxy9,687974592
4,1,840879985,80,6,proxy8,proxy9,1124182208
4,1,961895544,443,6,proxy8,proxy9,671197376
4,1,1703059411,80,6,proxy8,proxy9,1124182208
4,1,1803722707,80,6,proxy8,proxy9,1124182208
4,1,728178394,80,6,proxy8,proxy9,704751808
4,1,2412841337,8000,17,proxy8,proxy9,660973760
4,1,2534620343,8000,17,proxy8,proxy9,671197376
4,1,1546731050,8088,17,proxy8,proxy9,620865728
4,1,2971702135,8000,17,proxy8,proxy9,671197376
4,1,1208696362,6612,17,proxy8,proxy9,620865728
4,1,1208696362,6613,17,proxy8,proxy9,620865728
4,1,2500353793,50951,17,proxy8,proxy9,620865728
3,3,942264523,443,6,proxy8,proxy9,671197376;620865728;335653056
3,3,975950027,80,6,proxy8,proxy9,620865728;553756864;335653056
3,3,774608763,8000,17,proxy8,proxy9,704751808;620865728;335653056
3,2,1647038667,443,6,proxy8,proxy9,660973760;520202432
3,2,1856035244,443,6,proxy8,proxy9,671197376;660973760
3,2,3163674426,80,6,proxy8,proxy9,660973760;654420160
3,2,4002439215,22,6,proxy8,proxy9,536979648;520202432
3,2,2337102448,80,6,proxy8,proxy9,671197376;520202432
3,2,640274635,443,6,proxy8,proxy9,1191291072;671197376
3,2,396797919,80,6,proxy8,proxy9,1191291072;520202432
3,2,373280367,80,6,proxy8,proxy9,671197376;520202432
3,2,3286604212,80,6,proxy8,proxy9,704751808;687974592
3,2,1227608267,443,6,proxy8,proxy9,620865728;520202432
3,2,1537193436,80,6,proxy8,proxy9,704751808;687974592
3,2,3894923467,443,6,proxy8,proxy9,620865728;536979648
3,2,721156874,67,17,proxy8,proxy9,2634131648;2181146816
3,2,218888762,8000,17,proxy8,proxy9,671197376;620865728
3,2,100983397,53,17,proxy8,proxy9,2919344320;2634131648
3,1,1661118656,6687,6,proxy9,local,3104025222
3,1,1723722048,80,6,proxy8,proxy9,536979648
3,1,139201823,443,6,proxy8,proxy9,660973760
3,1,2796672782,443,6,proxy8,proxy9,660973760
3,1,1048503363,443,6,proxy8,proxy9,660973760
3,1,1060163787,443,6,proxy8,proxy9,660973760
3,1,213204805,443,6,proxy8,proxy9,660973760
3,1,3775036278,80,6,proxy8,proxy9,660973760
3,1,4213690571,443,6,proxy8,proxy9,660973760
3,1,3004040879,80,6,proxy8,proxy9,660973760
3,1,1430638476,80,6,proxy8,proxy9,660973760
3,1,1557393267,80,6,proxy8,proxy9,660973760
3,1,780950483,80,6,proxy8,proxy9,660973760
3,1,233784189,80,6,proxy8,proxy9,660973760
3,1,114304409,80,6,proxy8,proxy9,660973760
3,1,1119394621,80,6,proxy8,proxy9,660973760
3,1,275561591,80,6,proxy8,proxy9,660973760
3,1,3390525552,80,6,proxy8,proxy9,660973760
3,1,3643265227,443,6,proxy8,proxy9,660973760
3,1,3643265227,80,6,proxy8,proxy9,660973760
3,1,1283756243,80,6,proxy8,proxy9,660973760
3,1,2108217146,443,6,proxy8,proxy9,660973760
3,1,169045819,80,6,proxy8,proxy9,660973760
3,1,213598021,443,6,proxy8,proxy9,660973760
3,1,722042235,80,6,proxy8,proxy9,520202432
3,1,3944780663,443,6,proxy8,proxy9,671197376
3,1,1252055468,443,6,proxy8,proxy9,671197376
3,1,1788926380,443,6,proxy8,proxy9,671197376
3,1,356503151,80,6,proxy8,proxy9,520202432
3,1,453792887,80,6,proxy8,proxy9,687974592
3,1,2034278767,80,6,proxy8,proxy9,671197376
3,1,2780872705,80,6,proxy8,proxy9,704751808
3,1,670825226,2492,6,proxy8,proxy9,1191291072
3,1,704379658,2492,6,proxy8,proxy9,1191291072
3,1,688105664,2492,6,proxy8,proxy9,1191291072
3,1,688695488,2492,6,proxy8,proxy9,1191291072
3,1,694462656,2492,6,proxy8,proxy9,1191291072
3,1,688040128,2492,6,proxy8,proxy9,1191291072
3,1,1263455884,80,6,proxy8,proxy9,1191291072
3,1,297694332,80,6,proxy8,proxy9,536979648
3,1,2407827382,80,6,proxy8,proxy9,536979648
3,1,2392303327,80,6,proxy8,proxy9,671197376
3,1,704751808,2492,6,proxy9,proxy8,3104025222
3,1,4139085348,80,6,proxy8,proxy9,654420160
3,1,2992628858,80,6,proxy8,proxy9,654420160
3,1,2374407604,443,6,proxy8,proxy9,654420160
3,1,3560558191,80,6,proxy8,proxy9,1191291072
3,1,3960925226,80,6,proxy8,proxy9,1191291072
3,1,2545457981,5958,6,proxy8,proxy9,654420160
3,1,187329293,443,6,proxy8,proxy9,687974592
3,1,1681784195,443,6,proxy8,proxy9,687974592
3,1,4044679871,443,6,proxy8,proxy9,687974592
3,1,623861261,443,6,proxy8,proxy9,687974592
3,1,335389052,80,6,proxy8,proxy9,1124182208
3,1,484771447,80,6,proxy8,proxy9,1124182208
3,1,2872663160,9002,6,proxy8,proxy9,671197376
3,1,1025531000,80,6,proxy8,proxy9,1124182208
3,1,3757810612,80,6,proxy8,proxy9,687974592
3,1,671710587,80,6,proxy8,proxy9,520202432
3,1,3617568220,80,6,proxy8,proxy9,553756864
3,1,1042468236,443,6,proxy8,proxy9,520202432
3,1,2764095489,80,6,proxy8,proxy9,704751808
3,1,336415357,80,6,proxy8,proxy9,536979648
3,1,3358052555,443,6,proxy8,proxy9,620865728
3,1,705265019,80,6,proxy8,proxy9,520202432
3,1,3351298049,80,6,proxy8,proxy9,704751808
3,1,950446047,80,6,proxy8,proxy9,520202432
3,1,352138813,80,6,proxy8,proxy9,671197376
3,1,1176882799,80,6,proxy8,proxy9,671197376
3,1,327085098,80,6,proxy8,proxy9,671197376
3,1,3390966634,443,6,proxy8,proxy9,1124182208
3,1,2812241875,80,6,proxy8,proxy9,1191291072
3,1,1993216526,8701,17,proxy8,proxy9,620865728
3,1,926557211,8000,17,proxy8,proxy9,620865728
3,1,2079783388,8000,17,proxy8,proxy9,520202432
3,1,1208696362,6610,17,proxy8,proxy9,620865728
3,1,1208696362,6611,17,proxy8,proxy9,620865728
3,1,1208696362,6614,17,proxy8,proxy9,620865728
3,1,1208696362,6616,17,proxy8,proxy9,620865728
3,1,1208696362,6617,17,proxy8,proxy9,620865728
3,1,1431424270,3847,17,proxy8,proxy9,620865728
3,1,942235770,12274,17,proxy8,proxy9,620865728
3,1,3833403769,8000,17,proxy8,proxy9,620865728
3,1,3063005552,7800,17,proxy8,proxy9,620865728
3,1,1695053995,9238,17,proxy8,proxy9,620865728
2,2,3104025222,443,6,proxy8,proxy9,660973760;570534080
2,2,3036916358,443,6,proxy8,proxy9,660973760;536979648
2,2,2528680765,5958,6,proxy8,proxy9,660973760;654420160
2,2,721421947,80,6,proxy8,proxy9,671197376;520202432
2,2,1213124236,80,6,proxy8,proxy9,671197376;553756864
2,2,2716796535,80,6,proxy8,proxy9,671197376;553756864
2,2,2459412191,443,6,proxy8,proxy9,671197376;520202432
2,2,1099755581,80,6,proxy8,proxy9,1191291072;553756864
2,2,881651773,80,6,proxy8,proxy9,1191291072;553756864
2,2,2805548342,443,6,proxy8,proxy9,687974592;671197376
2,2,3394067056,80,6,proxy8,proxy9,1124182208;520202432
2,2,2565022516,443,6,proxy8,proxy9,1191291072;536979648
2,2,53659493,80,6,proxy8,proxy9,553756864;520202432
2,2,2936253062,80,6,proxy8,proxy9,704751808;570534080
2,2,3493449327,80,6,proxy8,proxy9,1191291072;520202432
2,2,1044114474,80,6,proxy8,proxy9,553756864;520202432
2,2,2358139504,8000,17,proxy8,proxy9,671197376;620865728
2,2,2577061646,8000,17,proxy8,proxy9,671197376;620865728
2,2,858494843,8000,17,proxy8,proxy9,704751808;687974592
2,2,1093390539,443,17,proxy8,proxy9,1073850560;335653056
2,1,1661118656,5797,6,proxy9,local,3087248006
2,1,1661118656,6776,6,proxy9,local,3104025222
2,1,1661118656,6815,6,proxy9,local,3053693574
2,1,2367872283,443,6,proxy8,proxy9,553756864
2,1,3842075761,443,6,proxy8,proxy9,1124182208
2,1,3471080053,22,6,proxy8,proxy9,536979648
2,1,4167109919,443,6,proxy8,proxy9,660973760
2,1,1712815434,80,6,proxy8,proxy9,536979648
2,1,850515726,80,6,proxy8,proxy9,660973760
2,1,2776929716,80,6,proxy8,proxy9,660973760
2,1,785546102,443,6,proxy8,proxy9,660973760
2,1,17435146,2492,6,proxy8,proxy9,660973760
2,1,25209024,2492,6,proxy8,proxy9,660973760
2,1,23242944,2492,6,proxy8,proxy9,660973760
2,1,573841162,2492,6,proxy8,proxy9,660973760
2,1,16981770,8443,6,proxy8,proxy9,660973760
2,1,448675653,443,6,proxy8,proxy9,660973760
2,1,1059705035,80,6,proxy8,proxy9,660973760
2,1,3775036278,443,6,proxy8,proxy9,660973760
2,1,605725620,443,6,proxy8,proxy9,660973760
2,1,1724060520,443,6,proxy8,proxy9,660973760
2,1,2987263663,80,6,proxy8,proxy9,660973760
2,1,193957946,80,6,proxy8,proxy9,660973760
2,1,2569588939,443,6,proxy8,proxy9,660973760
2,1,690606283,443,6,proxy8,proxy9,620865728
2,1,3807674747,80,6,proxy8,proxy9,660973760
2,1,269265088,80,6,proxy8,proxy9,660973760
2,1,1265802715,80,6,proxy8,proxy9,660973760
2,1,757649611,443,6,proxy8,proxy9,660973760
2,1,1857657661,8099,6,proxy8,proxy9,660973760
2,1,4241984150,80,6,proxy8,proxy9,660973760
2,1,3425392496,80,6,proxy8,proxy9,660973760
2,1,4050435191,80,6,proxy8,proxy9,660973760
2,1,4000103543,80,6,proxy8,proxy9,660973760
2,1,3525940087,12180,6,proxy8,proxy9,660973760
2,1,4187840948,80,6,proxy8,proxy9,660973760
2,1,1057859548,80,6,proxy8,proxy9,660973760
2,1,103731057,80,6,proxy8,proxy9,660973760
2,1,1646366931,80,6,proxy8,proxy9,660973760
2,1,3117426073,81,6,proxy8,proxy9,660973760
2,1,3692601711,80,6,proxy8,proxy9,660973760
2,1,864297881,80,6,proxy8,proxy9,660973760
2,1,1290232266,80,6,proxy8,proxy9,660973760
2,1,3106525387,443,6,proxy8,proxy9,660973760
2,1,959500491,443,6,proxy8,proxy9,660973760
2,1,1960479926,80,6,proxy8,proxy9,660973760
2,1,1960479926,443,6,proxy8,proxy9,660973760
2,1,3399511867,443,6,proxy8,proxy9,660973760
2,1,3144040573,443,6,proxy8,proxy9,660973760
2,1,3115439886,443,6,proxy8,proxy9,660973760
2,1,3457407404,443,6,proxy8,proxy9,660973760
2,1,2383600044,443,6,proxy8,proxy9,660973760
2,1,772921772,443,6,proxy8,proxy9,660973760
2,1,1846860204,443,6,proxy8,proxy9,660973760
2,1,3470015192,443,6,proxy8,proxy9,660973760
2,1,2932423384,443,6,proxy8,proxy9,660973760
2,1,1309989292,443,6,proxy8,proxy9,660973760
2,1,2383534508,443,6,proxy8,proxy9,660973760
2,1,1846663596,443,6,proxy8,proxy9,660973760
2,1,2396273368,443,6,proxy8,proxy9,660973760
2,1,2933144280,443,6,proxy8,proxy9,660973760
2,1,4006886104,443,6,proxy8,proxy9,660973760
2,1,1260440972,443,6,proxy8,proxy9,536979648
2,1,3944780663,80,6,proxy8,proxy9,671197376
2,1,1110167755,443,6,proxy8,proxy9,536979648
2,1,2001427576,80,6,proxy8,proxy9,1124182208
2,1,1829880610,443,6,proxy8,proxy9,671197376
2,1,491703948,80,6,proxy8,proxy9,704751808
2,1,814542909,80,6,proxy8,proxy9,553756864
2,1,3516976780,12000,6,proxy8,proxy9,671197376
2,1,3449938533,80,6,proxy8,proxy9,704751808
2,1,553756864,53168,6,proxy9,proxy8,984000479
2,1,3718609002,80,6,proxy8,proxy9,704751808
2,1,1539292221,80,6,proxy8,proxy9,654420160
2,1,2097076651,80,6,proxy8,proxy9,654420160
2,1,2723057371,80,6,proxy8,proxy9,654420160
2,1,2085198619,80,6,proxy8,proxy9,654420160
2,1,2721959535,80,6,proxy8,proxy9,520202432
2,1,1191291072,2492,6,proxy9,proxy8,3053693574
2,1,1191291072,53083,6,proxy9,proxy8,933668831
2,1,2872954479,80,6,proxy8,proxy9,520202432
2,1,831320125,80,6,proxy8,proxy9,520202432
2,1,2593020528,8080,6,proxy8,proxy9,620865728
2,1,609144460,80,6,proxy8,proxy9,1191291072
2,1,570534080,2492,6,proxy9,proxy8,3104025222
2,1,3081968180,443,6,proxy8,proxy9,671197376
2,1,3512480440,443,6,proxy8,proxy9,335653056
2,1,727208040,80,6,proxy8,proxy9,335653056
2,1,1514095373,443,6,proxy8,proxy9,687974592
2,1,1625284148,443,6,proxy8,proxy9,687974592
2,1,434921012,443,6,proxy8,proxy9,687974592
2,1,1764077364,443,6,proxy8,proxy9,687974592
2,1,2463874651,443,6,proxy8,proxy9,687974592
2,1,2147707661,443,6,proxy8,proxy9,687974592
2,1,1080642317,443,6,proxy8,proxy9,687974592
2,1,2485281204,443,6,proxy8,proxy9,687974592
2,1,3310897933,443,6,proxy8,proxy9,687974592
2,1,520202432,2492,6,proxy9,proxy8,3087248006
2,1,687974592,57881,6,proxy9,proxy8,2834211764
2,1,470486649,8091,6,proxy8,proxy9,1124182208
2,1,2802519673,8091,6,proxy8,proxy9,1124182208
2,1,2542912459,80,6,proxy8,proxy9,1124182208
2,1,3123302603,80,6,proxy8,proxy9,1191291072
2,1,3873350580,80,6,proxy8,proxy9,687974592
2,1,419247677,80,6,proxy8,proxy9,671197376
2,1,3200022634,80,6,proxy8,proxy9,536979648
2,1,745746493,80,6,proxy8,proxy9,620865728
2,1,2816894666,80,6,proxy8,proxy9,1124182208
2,1,606654667,443,6,proxy8,proxy9,1191291072
2,1,3240612043,443,6,proxy8,proxy9,671197376
2,1,1317545853,80,6,proxy8,proxy9,1124182208
2,1,499365491,80,6,proxy8,proxy9,1124182208
2,1,17173354,443,6,proxy8,proxy9,520202432
2,1,2261473405,80,6,proxy8,proxy9,704751808
2,1,797765693,80,6,proxy8,proxy9,1191291072
2,1,3993819564,443,6,proxy8,proxy9,1191291072
2,1,2501146294,80,6,proxy8,proxy9,520202432
2,1,1437104234,80,6,proxy8,proxy9,687974592
2,1,4025880185,80,6,proxy8,proxy9,704751808
2,1,2919674998,80,6,proxy8,proxy9,536979648
2,1,403524221,80,6,proxy8,proxy9,536979648
2,1,3640036534,80,6,proxy8,proxy9,536979648
2,1,2689519244,80,6,proxy8,proxy9,520202432
2,1,272617071,80,6,proxy8,proxy9,520202432
2,1,3362014518,443,6,proxy8,proxy9,536979648
2,1,104590378,80,6,proxy8,proxy9,520202432
2,1,70436709,80,6,proxy8,proxy9,553756864
2,1,1093390539,443,6,proxy8,proxy9,1191291072
2,1,3324498123,443,6,proxy8,proxy9,671197376
2,1,853235837,80,6,proxy8,proxy9,704751808
2,1,467236208,80,6,proxy8,proxy9,536979648
2,1,651521572,80,6,proxy8,proxy9,704751808
2,1,1404320106,80,6,proxy8,proxy9,654420160
2,1,2280367028,80,6,proxy8,proxy9,704751808
2,1,1110692043,443,6,proxy8,proxy9,620865728
2,1,1020248442,80,6,proxy8,proxy9,1124182208
2,1,2197409637,80,6,proxy8,proxy9,1124182208
2,1,824889201,443,6,proxy8,proxy9,1124182208
2,1,580963941,443,6,proxy8,proxy9,1124182208
2,1,149343628,443,6,proxy8,proxy9,1124182208
2,1,980627517,80,6,proxy8,proxy9,620865728
2,1,1680593099,443,6,proxy8,proxy9,520202432
2,1,791013235,8701,17,proxy8,proxy9,620865728
2,1,409779319,80,17,proxy8,proxy9,660973760
2,1,1824997488,3478,17,proxy8,proxy9,553756864
2,1,67240450,9001,17,proxy8,proxy9,671197376
2,1,2996173626,8414,17,proxy8,proxy9,671197376
2,1,226167612,46593,17,proxy8,proxy9,620865728
2,1,2775294319,8000,17,proxy8,proxy9,520202432
2,1,1785347841,24600,17,proxy8,proxy9,620865728
2,1,3854264538,19236,17,proxy8,proxy9,620865728
2,1,2925218855,56655,17,proxy8,proxy9,620865728
2,1,1523459243,3072,17,proxy8,proxy9,620865728
2,1,4123145326,34128,17,proxy8,proxy9,620865728
2,1,801312733,8000,17,proxy8,proxy9,620865728
2,1,104915595,43777,17,proxy8,proxy9,620865728
2,1,3391559482,18645,17,proxy8,proxy9,620865728
2,1,2524586109,8000,17,proxy8,proxy9,620865728
2,1,4019771150,8000,17,proxy8,proxy9,620865728
2,1,353004657,8000,17,proxy8,proxy9,620865728
2,1,3577223169,7700,17,proxy8,proxy9,620865728
2,1,211059380,7700,17,proxy8,proxy9,620865728
2,1,931351158,20489,17,proxy8,proxy9,620865728
2,1,3827699770,24352,17,proxy8,proxy9,620865728
2,1,2140767099,14818,17,proxy8,proxy9,620865728
2,1,3352499065,5196,17,proxy8,proxy9,620865728
2,1,2028025130,7800,17,proxy8,proxy9,620865728
2,1,2232800828,1113,17,proxy8,proxy9,620865728
2,1,684149605,25297,17,proxy8,proxy9,620865728
2,1,1208696362,6619,17,proxy8,proxy9,620865728
2,1,582103338,2036,17,proxy8,proxy9,620865728
2,1,570613872,52753,17,proxy8,proxy9,620865728
2,1,1618701627,7800,17,proxy8,proxy9,620865728
2,1,3760262171,7700,17,proxy8,proxy9,620865728
2,1,440761822,8000,17,proxy8,proxy9,620865728
2,1,3952662286,8000,17,proxy8,proxy9,671197376
2,1,275800176,29741,17,proxy8,proxy9,620865728
2,1,2257392485,21146,17,proxy8,proxy9,620865728
2,1,160108152,18567,17,proxy8,proxy9,620865728
2,1,2671075696,3749,17,proxy8,proxy9,620865728
2,1,3372289501,40327,17,proxy8,proxy9,620865728
2,1,2166634166,8000,17,proxy8,proxy9,620865728
2,1,790553969,8000,17,proxy8,proxy9,620865728
2,1,159348343,7800,17,proxy8,proxy9,620865728
2,1,3725072385,7800,17,proxy8,proxy9,620865728
2,1,2316291173,7700,17,proxy8,proxy9,620865728
2,1,2824689016,2909,17,proxy8,proxy9,620865728
2,1,3470422644,36876,17,proxy8,proxy9,620865728
2,1,878776378,25815,17,proxy8,proxy9,620865728
2,1,3337310582,7700,17,proxy8,proxy9,620865728
2,1,727210934,7700,17,proxy8,proxy9,620865728
2,1,330395764,7800,17,proxy8,proxy9,620865728
2,1,1212485085,7700,17,proxy8,proxy9,620865728
2,1,2355781744,56036,17,proxy8,proxy9,620865728
2,1,1434327553,35593,17,proxy8,proxy9,620865728
2,1,2543397147,7800,17,proxy8,proxy9,620865728
2,1,3128713328,17270,17,proxy8,proxy9,620865728
2,1,165892728,7800,17,proxy8,proxy9,620865728
2,1,1717779201,7700,17,proxy8,proxy9,620865728
2,1,992364409,7800,17,proxy8,proxy9,620865728
2,1,1743539572,5740,17,proxy8,proxy9,620865728
2,1,2200533359,45267,17,proxy8,proxy9,620865728
2,1,2004033281,10370,17,proxy8,proxy9,620865728
2,1,3949733915,7700,17,proxy8,proxy9,620865728
2,1,3113619514,26228,17,proxy8,proxy9,620865728
2,1,3842144427,7700,17,proxy8,proxy9,620865728
2,1,620688186,26353,17,proxy8,proxy9,620865728
2,1,2100519280,24273,17,proxy8,proxy9,620865728
2,1,482616491,7700,17,proxy8,proxy9,620865728
2,1,2381528691,6274,17,proxy8,proxy9,620865728
2,1,956096111,7700,17,proxy8,proxy9,620865728
2,1,3285084378,0,1,proxy8,proxy9,520202432
