hit_cnt,sip_cnt,dip,dport,proto,inif,outif,src_ip
133,15,84025098,7278,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7279,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7280,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7281,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
133,15,84025098,7282,17,proxy8,proxy9,3908827914;1895561994;1140587274;1124182208;704379658;687974592;687602442;671197376;670825226;660973760;654420160;620865728;570534080;536979648;335653056
123,1,1122976637,80,6,proxy8,proxy9,660973760
123,1,570123842,0,1,proxy8,proxy9,1124182208
121,1,208452727,8000,17,proxy8,proxy9,520202432
119,1,564186725,443,6,proxy8,proxy9,553756864
110,7,1369401299,80,6,proxy8,proxy9,1191291072;671197376;660973760;654420160;620865728;570534080;335653056
98,11,67309740,8901,6,proxy8,proxy9,1191291072;1124182208;1073850560;704751808;671197376;660973760;654420160;620865728;570534080;536979648;335653056
94,3,567442294,443,6,proxy8,proxy9,687974592;660973760;654420160
92,1,1625083276,0,1,proxy8,proxy9,1124182208
91,1,4033657975,0,1,proxy8,proxy9,1124182208
90,1,902807930,80,6,proxy8,proxy9,1124182208
83,1,129251963,0,1,proxy8,proxy9,1124182208
83,1,1678931638,0,1,proxy8,proxy9,1124182208
79,1,3177106828,0,1,proxy8,proxy9,1124182208
77,1,738865674,63424,17,proxy8,proxy9,620865728
77,1,2627569469,0,1,proxy8,proxy9,1124182208
76,1,146029179,0,1,proxy8,proxy9,1124182208
73,2,550665078,443,6,proxy8,proxy9,660973760;654420160
71,1,2523995196,80,6,proxy8,proxy9,520202432
70,1,2041153341,443,6,proxy8,proxy9,553756864
70,1,1911564157,0,1,proxy8,proxy9,1124182208
68,2,93280880,8000,17,proxy8,proxy9,671197376;520202432
